"index","original_content","translated_content"
"732","Visitor's Room",""
"753","Well hello!",""
"755","I didn't expect anyone to",""
"757","visit me in such a dank",""
"759","place as this...",""
"761","It's really quite...",""
"763"," moving.",""
"771","Not!",""
"773"," You stinking lawyer!",""
"776","I hope you die!",""
"783","Have you come to laugh?",""
"786","Yes,",""
"788"," laugh at the fallen",""
"790","Miss May!",""
"797","No,",""
"799"," not really,",""
"801"," there's",""
"803","something I wanted to ask.",""
"807","Unfortunately,",""
"809"," there is",""
"811","nothing I want to BE asked.",""
"815","Haven't you done enough",""
"817","questioning,",""
"819"," you...",""
"821","!",""
"827","Spiky-head!",""
"834","(Here we go again...)",""
"838","Please,",""
"840"," you're scaring",""
"842","the security guard.",""
"846","...",""
"852","So?",""
"854"," What is it you wish",""
"856","to ask of me,",""
"858"," then?",""
"860"," Hmm?",""
"866","(For starters,",""
"868"," how did you",""
"870","get to be so totally",""
"872","whacked!?)",""
"884","This guard monitors",""
"886","the visitor's room.",""
"888","He hasn't moved an inch.",""
"891","A real pro,",""
"893"," this guy.",""
"895","Or maybe he just doesn't",""
"897","get to see a lot of women",""
"899","like Miss May in here.",""
"907","Smile for the camera...",""
"915","No clues here.",""
"924","About the man who stayed",""
"926","with you in your hotel room...",""
"930","...",""
"933","Can you tell me about him?",""
"935","Where is he?",""
"939","C'mon...",""
"943","No way,",""
"945"," Jose.",""
"951","(Hmm...",""
"953"," maybe if I had",""
"955","something to get her",""
"957","to talk...)",""
"968","Why did you place a",""
"970","wiretap on Mia's phone?",""
"976","Aww,",""
"978"," when you say it like",""
"980","that it sounds so...",""
"982"," cold.",""
"985","So criminal!",""
"989","Um...",""
"991"," tapping people's",""
"993","phones is a crime,",""
"995"," Miss May.",""
"999","Oh,",""
"1001"," and I suppose you learned",""
"1003","that in Lawyer School,",""
"1005"," hmm?",""
"1008","Creep!",""
"1014","(This woman is impossible",""
"1016","to talk to...)",""
"1027","Say...",""
"1029","Why are you so...",""
"1031"," angry?",""
"1033","I mean,",""
"1035"," you don't look",""
"1038","like a bad person...",""
"1046","Ooh,",""
"1048"," that does it!",""
"1055","Bottom-",""
"1057","feeding,",""
"1059"," scum-sucking",""
"1061","lawyer!",""
"1067","B-",""
"1069","bottom...?",""
"1073","(I can't tell,",""
"1075"," does she have",""
"1077","a thing against lawyers...",""
"1080","or just against me?)",""
"1091","Hey,",""
"1093"," guess what.",""
"1095","Actually,",""
"1097"," I,",""
"1099"," um,",""
"1102","really hate your guts.",""
"1104","So get lost.",""
"1106"," Because,",""
"1109","well,",""
"1111"," I'm not cooperating.",""
"1116","(Thanks,",""
"1118"," I noticed.)",""
"1135","YOU AGAIN!?",""
"1138","Can't you take a hint",""
"1140","and stay gone?",""
"1147","Hey,",""
"1149"," the only reason I'm",""
"1151","back here is because YOU",""
"1153","won't talk to me!",""
"1157","Oh,",""
"1159"," so it's ",""
"1161","MY fault now?",""
"1163","You don't just have spiky",""
"1165","hair,",""
"1167"," you also have a",""
"1169","spiky heart!",""
"1174","(That does it.",""
"1176"," When this case",""
"1178","is done I'm shaving my head.)",""
"1188","This guard monitors",""
"1190","the visitor's room.",""
"1192","He hasn't moved an inch.",""
"1195","A real pro,",""
"1197"," this guy.",""
"1199","Or maybe he just doesn't",""
"1201","get to see a lot of women",""
"1203","like Miss May in here.",""
"1211","Smile for the camera...",""
"1220","No clues here.",""
"1229","About the man who stayed",""
"1231","with you in your hotel room...",""
"1233","Can you tell me about him?",""
"1236","Where is he?",""
"1243","I'm not telling!",""
"1249","Look,",""
"1251"," he's being accused of",""
"1253","murder!",""
"1256"," I don't think you",""
"1258","want to be protecting him.",""
"1262","Hmm.",""
"1264"," Would you have sold",""
"1266","out the late Ms. Fey to",""
"1268","the cops?",""
"1272","No.",""
"1276","See?",""
"1283","(Damn!)",""
"1286","(Hmm...",""
"1288"," maybe if I had",""
"1290","something to get her",""
"1292","to talk...)",""
"1303","Why did you place a",""
"1305","wiretap on Mia's phone?",""
"1311","Aww,",""
"1313"," when you say it like",""
"1315","that it sounds so...",""
"1317"," cold.",""
"1320","So criminal!",""
"1324","Um...",""
"1326"," tapping people's",""
"1328","phones is a crime,",""
"1330"," Miss May.",""
"1334","Oh,",""
"1336"," and I suppose you learned",""
"1338","that in Lawyer School,",""
"1340"," hmm?",""
"1343","Creep!",""
"1348","(This woman is impossible",""
"1350","to talk to...)",""
"1360","Say...",""
"1362","Why are you so...",""
"1364"," angry?",""
"1366","I mean,",""
"1368"," you don't look",""
"1371","like a bad person...",""
"1379","That does it,",""
"1381"," ",""
"1385","you bottom-",""
"1388","feeding,",""
"1390"," scum-sucking lawyer!",""
"1396","B-",""
"1398","bottom...?",""
"1402","(I can't tell,",""
"1404"," does she have",""
"1406","a thing against lawyers...",""
"1409","or just against me?)",""
"1421","Any thoughts about",""
"1423","this photograph?",""
"1426","...",""
"1429","Who's that?",""
"1432","Your mother?",""
"1438","(...)",""
"1443","(*sigh*",""
"1445"," Looks like I've just",""
"1447","been wasting my time.)",""
"1461","Have a look at this.",""
"1465","Look,",""
"1467"," I've said several",""
"1469","times,",""
"1471"," I'm not telling you...",""
"1477","!",""
"1481","Where did you...?",""
"1489","(Ah hah!",""
"1491"," A reaction!)",""
"1494","This is him,",""
"1496"," isn't it?",""
"1502","What?",""
"1504"," Who?",""
"1506"," When?",""
"1508"," Why...?",""
"1512","It IS him.",""
"1514","This is the man who stayed",""
"1516","in your hotel room the night",""
"1518","of the murder!",""
"1524","No!",""
"1526"," No,",""
"1531"," that's not right.",""
"1536","(Nice try,",""
"1538"," Miss Cooperative.)",""
"1545","D-",""
"1547","do you have proof",""
"1549","that was him?",""
"1551"," Hmm?",""
"1553","Y-",""
"1555","yeah!",""
"1557"," Proof!",""
"1562"," Show me proof!",""
"1568","(I'm so close!)",""
"1582","How about this photograph?",""
"1586","You're wasting ",""
"1589","your time!",""
"1592","My lips are sealed!",""
"1604","Could you have",""
"1606","a look at this?",""
"1613","What's that?",""
"1618","The bellboy's affidavit!",""
"1622","It tells us everything he saw.",""
"1625","Such as the man you",""
"1627","checked in with.",""
"1632","Who was most definitely",""
"1634","this guy.",""
"1642","...!",""
"1646","88",""
"1649","(Now I'm getting somewhere!)",""
"1662","(This is it,",""
"1664"," all or nothing!",""
"1667","Time to do a little bluff.)",""
"1673","No use playing dumb!",""
"1677","(If,",""
"1679"," indeed,",""
"1681"," that's an act.)",""
"1685","If you don't talk,",""
"1687"," I'm taking",""
"1689","this info to the press!",""
"1694","W",""
"1698","haaaaat!?",""
"1703","Even though he should've been",""
"1705","witness to murder,",""
"1707"," your little",""
"1709","""friend"" was missing.",""
"1711","I'm sure the press would",""
"1713","have a field day with his",""
"1715","reputation!",""
"1722","...!",""
"1728","Ooooh!",""
"1733","Fine!",""
"1735"," I'll talk!",""
"1737","You...",""
"1739"," you ",""
"1741","win,",""
"1743"," Lawyer.",""
"1752","(Yes",""
"1754","!",""
"1758","Man,",""
"1760"," that felt good!)",""
"1762","(It's great to be alive!)",""
"1768","Why are you pumping your",""
"1770","fists in the air?",""
"1778","*cough*",""
"1780","Now,",""
"1782"," tell me about the",""
"1784","man you were with.",""
"1789","That man...",""
"1792","He's my boss.",""
"1795","Redd White,",""
"1797"," the president",""
"1799","of the information gathering",""
"1801","conglomerate,",""
"1803"," Bluecorp.",""
"1809","(Redd...",""
"1811"," White?)",""
"1816","nformation gathering?""",""
"1820","Well...",""
"1822"," I suppose you could",""
"1824","call it a detective agency.",""
"1828","Hmm...",""
"1830","So this is the man that",""
"1832","was with you the night",""
"1834","of the murder?",""
"1839","...",""
"1845","I'm...",""
"1848","I'm scared to talk.",""
"1852","I don't want to",""
"1854","end up ",""
"1856","like her!",""
"1865","(...!)",""
"1868","It's okay,",""
"1870"," I'll just",""
"1872","ask Mr. White himself.",""
"1874","Can you tell me where",""
"1876","Bluecorp is located?",""
"1880","...",""
"1893","(Mr. Redd White,",""
"1895"," at last!)",""
"1898","(Finally,",""
"1900"," a lead on this guy!)",""
"1903","(If April May couldn't have",""
"1905","done it,",""
"1907"," that leaves him!)",""
"1909","(Time to take action!)",""
"1924","Bellboy's Affidavit discarded.",""
"1944","(Okay,",""
"1946"," okay...",""
"1948"," she's vulnerable",""
"1950","now.",""
"1952"," I should be gentle.)",""
"1956","Miss May...",""
"1959","It would be easy for me to ",""
"1961","hand this affidavit to the",""
"1963","police.",""
"1967","...",""
"1971","If they get involved,",""
"1973"," wouldn't",""
"1975","your boss be even more...",""
"1978","er...",""
"1980"," inconvenienced?",""
"1982","All I want to do is have",""
"1984","a little chat with him.",""
"1986","You won't tell me?",""
"1991","...",""
"1996","Is that all you have to say?",""
"2003","Yes.",""
"2007","If it's so easy for you to",""
"2009","""get the police involved,""",""
"2011","then why don't you?",""
"2013","Somehow I think you're",""
"2015","not up to it,",""
"2017"," hmm?",""
"2025","(Show them a little kindness",""
"2027","and they jump all over you!)",""
"2032","(That had the opposite",""
"2034","effect to what I hoped...)",""
"2040","Aww.",""
"2042"," *smirk*",""
"2046","Poor little lawyer...",""
"2048","And you were so close!",""
"2053","(This isn't working...)",""
"2055","(I think I've worn out this",""
"2057","piece of paper's usefulness.)",""
"2063","Dammit!",""
"2069","Bellboy's Affidavit discarded.",""
"2076","(The man in this photo",""
"2078","is the one I want!)",""
"2080","(Why did April May not want",""
"2082","to talk about it...",""
"2084"," she must",""
"2086","know him!)",""
"2097","Hey,",""
"2099"," guess what.",""
"2101","Actually,",""
"2103"," I,",""
"2105"," um,",""
"2108","really hate your guts.",""
"2110","So get lost,",""
"2112"," because,",""
"2115","well,",""
"2117"," I'm not cooperating.",""
"2122","(Thanks,",""
"2124"," I noticed.)",""
"2134","Apparently,",""
"2136"," Miss May",""
"2138","is in questioning.",""
"2140","I doubt they'll let me",""
"2142","talk to her today.",""
"2150","This guard monitors",""
"2152","the visitor's room.",""
"2154","He hasn't moved an inch.",""
"2157","A real pro,",""
"2159"," this guy.",""
"2167","Smile for the camera...",""
"2176","No clues here.",""
"2196","September 8, 3:37 PM",""
"2198","Detention Center",""
"2200","Visitor's Room",""
"2211","I can't believe it's only",""
"2213","been a day since the first",""
"2215","trial.",""
"2217","My trial begins tomorrow.",""
"2219","White's going to",""
"2221","set a trap for me.",""
"2223","And the prosecution will",""
"2226","be in on it,",""
"2228"," of ",""
"2230","course.",""
"2233","Edgeworth,",""
"2235"," included.",""
"2237","An attorney was assigned to",""
"2239","me by the state,",""
"2241"," yesterday.",""
"2243","I refused.",""
"2246","I had an idea.",""
"2250","...",""
"2252","Wright!",""
"2256","Mr. Wright!",""
"2270","Oh,",""
"2272"," Maya!",""
"2274","Great,",""
"2276"," they let you",""
"2278","out of detention.",""
"2282","Just now,",""
"2284"," yes.",""
"2290","It's all thanks to you!",""
"2295","Hah.",""
"2297"," Now I'm afraid we've",""
"2299","switched places.",""
"2305","What?",""
"2307"," You mean,",""
"2309"," you...?",""
"2322","I explained what had",""
"2324","happened to Maya.",""
"2326","...",""
"2341","I don't believe it!",""
"2343","How many people does that man",""
"2345","need to destroy before he's",""
"2347","satisfied!?",""
"2349"," My mother...",""
"2351","My sister...",""
"2353","And now you!",""
"2360","This has gone too far!",""
"2363","Mr. Wright,",""
"2365"," please tell me,",""
"2370","is there anything I can do?",""
"2376","Um...",""
"2378"," well...",""
"2389","Alright,",""
"2391"," you can be my",""
"2393","defense lawyer tomorrow!",""
"2400","Alright!",""
"2404","Huh?",""
"2411","Leave it to me!",""
"2413"," I am Mia's",""
"2415","sister,",""
"2417"," after all!",""
"2419"," Lawyership",""
"2421","runs in our blood!",""
"2426","(Wasn't it ghost powers",""
"2428"," that",""
"2430","ran in your blood...?)",""
"2436","I'd better run to the",""
"2438","bookstore and pick up a copy",""
"2440","of ""Law for Rookies.""",""
"2448","Well,",""
"2450"," you could cheer",""
"2452","for me in court.",""
"2458","Cheer for you?",""
"2462","You mean...",""
"2464"," like a",""
"2466","cheerleader?",""
"2470","Huh?",""
"2472"," Um,",""
"2474"," yeah,",""
"2476"," like that.",""
"2483","Alright!",""
"2487","Leave it to me!",""
"2491","Huh?",""
"2495","I'd better go get a uniform",""
"2497","and some pom-poms...!",""
"2505","Right.",""
"2507"," Okay,",""
"2509"," listen up.",""
"2512","I want you to help me break",""
"2514","out of here!",""
"2521","You mean...",""
"2523"," a jail break?",""
"2527","Yeah.",""
"2529"," Tonight's our",""
"2531","only chance!",""
"2538","Alright!",""
"2542","Huh?",""
"2546","Oh,",""
"2548"," I'd better go get a",""
"2550","hacksaw while the stores",""
"2552","are still open.",""
"2556","Oh,",""
"2558"," oh!",""
"2560"," And a rope ladder,",""
"2563","and a getaway car!",""
"2566","Can you drive?",""
"2574","...",""
"2578","W-",""
"2580","wait.",""
"2582"," Wait ",""
"2584","wait ",""
"2586","wait.",""
"2597","What",""
"2599"," what ",""
"2601","what?",""
"2605","I'm kidding!",""
"2607"," It was a joke!",""
"2613","No way!",""
"2618","No really,",""
"2620"," I was kidding.",""
"2623","But thanks.",""
"2625"," It's good to know",""
"2627","you're on my side.",""
"2630","(And there really isn't",""
"2632","anything you can do",""
"2634","for me anyway...)",""
"2641","But...",""
"2646"," but I can't just sit",""
"2648","here and do nothing!",""
"2651","I've got to give that",""
"2654","man a ",""
"2657","piece of my mind!",""
"2662","(Just a piece...?)",""
"2665","Okay.",""
"2668","Then,",""
"2670"," come to the",""
"2672","trial tomorrow.",""
"2676","O-",""
"2678","okay!",""
"2680"," I'll be there!",""
"2686","I'll show them",""
"2688","a thing or two!",""
"2703","Times may change,",""
"2705"," yet with",""
"2707","crime it's the same old story.",""
"2709","In fact,",""
"2711"," it's gotten worse.",""
"2714","Lengthy court proceedings",""
"2716","are no longer realistic.",""
"2718","Beginning a few years ago,",""
"2721","a limit of three days was put",""
"2723","on initial court trials.",""
"2725","Almost all finish in a day.",""
"2728","Most with a guilty verdict.",""
"2730","I never thought I would",""
"2732","end up in the defendant's",""
"2734","chair myself for this case.",""
"2744","With the true culprit",""
"2746","appearing as the",""
"2748","star witness.",""
"2753","This is it!",""
"2756","Tomorrow, it's me or him!",""
"2769","              To be continued.",""
"2794","September 7",""
"2796","Grossberg Law Offices",""
"2807","(Huh.",""
"2809"," Looks like Grossberg",""
"2811","is out today...",""
"2813"," again.)",""
"2815","(Maybe ",""
"2818","he's avoiding",""
"2820","me for some reason?)",""
"2833","Wait a second...",""
"2835","Wasn't there a giant painting",""
"2837","hanging on that wall...?",""
"2839","Yeah...",""
"2841"," yeah,",""
"2843"," it was",""
"2845","a painting of...",""
"2855","Wasn't it?",""
"2858","It wasn't a very memorable",""
"2860","painting,",""
"2862"," anyhow.",""
"2870","A solid mahogany desk.",""
"2872","The wood's been polished",""
"2874","to a deep luster.",""
"2882","A table for clients.",""
"2884","Hmm...",""
"2886"," an elegant ebony case,",""
"2889","and if I'm not mistaken,",""
"2891"," that",""
"2893","lighter's made of solid gold.",""
"2895","Even I can tell someone",""
"2897","here's got money to burn.",""
"2905","An expensive potted plant.",""
"2907","No idea what kind of plant it",""
"2909","is,",""
"2911"," but it's probably the",""
"2913","most expensive one available.",""
"2921","Expensive-looking mahogany",""
"2923","bookshelves,",""
"2925"," filled with",""
"2927","expensive-looking books.",""
"2929","Hmm...",""
"2931"," Funny...",""
"2933"," They don't",""
"2935","look like they've ever been",""
"2937","read.",""
"2949","What's this?",""
"2951"," Old photos?",""
"2954","There are two lying here.",""
"2956","Something's been written in",""
"2958","pencil on the backs.",""
"2961","""DL-6 Incident - Exhibit A,""",""
"2965","""DL-6 Incident - Exhibit B""...",""
"2967","Let's take a",""
"2969","look at these...",""
"2980","...",""
"2982","I'm sure I've seen this",""
"2984","person somewhere...",""
"2986","Perhaps I'll borrow this photo.",""
"2988","I'm sure no one will miss",""
"2990","just one little photo.",""
"2992","And it might be a valuable",""
"2994","clue...",""
"2996"," I'll take it for now.",""
"3003","Photograph quietly added",""
"3005","to the Court Record.",""
"3016","Why would Grossberg have",""
"3018","a picture of this man...?",""
"3020","This might be a valuable",""
"3022","clue...",""
"3024"," I'll take it for now.",""
"3026","I'm just borrowing it.",""
"3029","I'll return it later.",""
"3036","Photograph quietly added",""
"3038","to the Court Record.",""
"3048","I don't need it now,",""
"3051","whatever it is.",""
"3053","If I ever run out of",""
"3055","clues,",""
"3057"," I'll know where",""
"3059","to find these.",""
"3062","(Although I can't be sure",""
"3064","the photos will still",""
"3066","be here then...)",""
"3076","A photo lies on the desk.",""
"3079","Maybe I should switch",""
"3081","it with the one I took?",""
"3090","I think I'll swap them...",""
"3099","Photograph added",""
"3101","to the Court Record.",""
"3111","No,",""
"3113"," on second thought,",""
"3116","I'd better not.",""
"3125","A photo lies",""
"3127","on the desk.",""
"3130","Maybe I should switch",""
"3132","it with the one I took?",""
"3141","I think I'll swap them...",""
"3150","Photograph added",""
"3152","to the Court Record.",""
"3162","No,",""
"3164"," on second thought,",""
"3167","I'd better not.",""
"3176","No clues here.",""
"3187","(*sigh*",""
"3189"," He's out again?)",""
"3194","(Huh?",""
"3196"," No more photos",""
"3198","on the desk...)",""
"3209","Wait a second...",""
"3211","Wasn't there a giant painting",""
"3213","hanging on that wall...?",""
"3215","Yeah...",""
"3217"," yeah,",""
"3219"," it was",""
"3221","a painting of...",""
"3231","Wasn't it?",""
"3234","It wasn't a very memorable",""
"3236","painting,",""
"3238"," anyhow.",""
"3246","A solid mahogany desk.",""
"3248","The wood's been polished",""
"3250","to a deep luster.",""
"3258","A table for clients.",""
"3260","Hmm...",""
"3262"," an elegant ebony case,",""
"3265","and if I'm not mistaken,",""
"3267"," that",""
"3269","lighter's made of solid gold.",""
"3271","Even I can tell someone",""
"3273","here's got money to burn.",""
"3281","An expensive potted plant.",""
"3283","No idea what kind of plant it",""
"3285","is,",""
"3287"," but it's probably the",""
"3289","most expensive one available.",""
"3297","Expensive-looking mahogany",""
"3299","bookshelves,",""
"3301"," filled with",""
"3303","expensive-looking books.",""
"3305","Hmm...",""
"3307"," Funny...",""
"3309"," They don't",""
"3311","look like they've ever been",""
"3313","read.",""
"3321","Those photos that were",""
"3323","lying there are gone now.",""
"3325","I guess Grossberg",""
"3327","must have stopped in.",""
"3336","No clues here.",""
"3347","(Alright,",""
"3349"," this is getting",""
"3351","ridiculous.",""
"3353"," Where the heck",""
"3355","is that loafer?)",""
"3360","*Ah-HHHHEM!*",""
"3366","(Ah,",""
"3368"," that old familiar",""
"3370","clearing of the throat...)",""
"3380","Ah hah!",""
"3382"," You again.",""
"3386","Um,",""
"3388"," hello,",""
"3390"," Mr. Grossberg.",""
"3393","...",""
"3396","Well,",""
"3398"," well.",""
"3402","You were quite the",""
"3404","thing,",""
"3406"," my boy.",""
"3411","Excuse me...?",""
"3415","The trial!",""
"3417"," The trial!",""
"3422","(He was there...?)",""
"3427","Reminded me of myself",""
"3429","when I was a youth!",""
"3434","(I guess something got passed",""
"3436","down through Mia...",""
"3438"," maybe?)",""
"3443","It brings back",""
"3445","memories,",""
"3447"," it does!",""
"3450","""Ah...",""
"3452"," the days of my youth...",""
"3455","like the scent of fresh",""
"3457","lemon...""",""
"3459"," you see.",""
"3464","...",""
"3469","I apologize.",""
"3474","?",""
"3478","I...",""
"3480"," It was all a bit",""
"3482","too much for me,",""
"3484"," my boy.",""
"3486","Seeing you today,",""
"3489","I...",""
"3491"," well,",""
"3493"," I...",""
"3496","...",""
"3503","(I appreciate the reminiscing,",""
"3506","but I'd much rather you gave",""
"3508","me some information!)",""
"3518","Wasn't there a giant painting",""
"3520","hanging on that wall...?",""
"3522","Yeah...",""
"3524"," yeah,",""
"3526"," it was",""
"3528","a painting of...",""
"3538","Wasn't it?",""
"3541","It wasn't a very memorable",""
"3543","painting,",""
"3545"," anyhow.",""
"3553","A solid mahogany desk.",""
"3555","The wood's been polished",""
"3557","to a deep luster.",""
"3565","A table for clients.",""
"3567","Hmm...",""
"3569"," an elegant ebony case,",""
"3572","and if I'm not mistaken,",""
"3574"," that",""
"3576","lighter's made of solid gold.",""
"3578","Even I can tell someone",""
"3580","here's got money to burn.",""
"3588","An expensive potted plant.",""
"3590","No idea what kind of plant it",""
"3592","is,",""
"3594"," but it's probably the",""
"3596","most expensive one available.",""
"3604","Expensive-looking mahogany",""
"3606","bookshelves,",""
"3608"," filled with",""
"3610","expensive-looking books.",""
"3612","Hmm...",""
"3614"," Funny...",""
"3616"," They don't",""
"3618","look like they've ever been",""
"3620","read.",""
"3628","That photo that was",""
"3630","lying there is gone now.",""
"3632","Hmm...",""
"3634"," I wonder if someone",""
"3636","noticed that one was missing?",""
"3645","No clues here.",""
"3654","So you came to",""
"3656","see the trial?",""
"3662","Yes,",""
"3664"," yes I did.",""
"3666","Something was bothering me",""
"3668","all last night,",""
"3670"," you see.",""
"3672"," I",""
"3674","couldn't get a wink of sleep.",""
"3680","Really?",""
"3682"," What was that?",""
"3686","Well,",""
"3688"," you see,",""
"3690"," it's just...",""
"3693","Mia's sister,",""
"3695"," that poor girl.",""
"3698","My boy,",""
"3700"," I owe you",""
"3702","my thanks,",""
"3704"," truly.",""
"3706","I don't know what I",""
"3708"," would",""
"3710","have done if things had",""
"3712","gone poorly for the girl.",""
"3717","(If you were that worried",""
"3719","about it,",""
"3721"," why didn't you",""
"3723","offer to defend her!?)",""
"3734","I asked before,",""
"3736"," but,",""
"3738"," why",""
"3740","did you refuse her request",""
"3742","for defense?",""
"3744","I think I have",""
"3746","a right to know.",""
"3749","A right,",""
"3751"," Mr. Wright?",""
"3754","No,",""
"3756"," no,",""
"3758"," I'm sorry.",""
"3760"," It's just,",""
"3764","I need more time to think",""
"3766","about it,",""
"3768"," my boy.",""
"3772","...",""
"3775","(He does seem troubled",""
"3777","about something...)",""
"3779","(Maybe I can find something",""
"3781","that will inspire him to",""
"3783","talk.)",""
"3793","The other day I'm sure there",""
"3795","was a big,",""
"3797"," pretentious-looking",""
"3799","painting on that wall...",""
"3805","""Pretentious-looking""...?",""
"3809","Well...",""
"3811"," you know",""
"3813","the one I mean.",""
"3815","Anyway,",""
"3817"," where did it go?",""
"3821","Ah,",""
"3823"," ",""
"3825","yes,",""
"3827"," well...",""
"3829","I...",""
"3831"," ",""
"3833","got rid of it.",""
"3835"," Got quite",""
"3837","tired of the thing,",""
"3839"," really.",""
"3843","I,",""
"3845"," er,",""
"3847"," sold it,",""
"3849"," you see.",""
"3852","Yes,",""
"3854"," that's right.",""
"3859","(Sold it!?",""
